fonte,entidade,origem_arquivo,origem_registro,campo_original,campo_normalizado,tipo_original,rotulo_original,descricao_original,origem_conjunto,descricao_do_conjunto_original,modulo,publicado_em
ckan,contratacao,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),data/raw/contratacao/1418acc24bad5215.json,ModalidadeNome,modalidadenome,text,n/d,n/d,data/raw/contratacao/acdcf1ed87e790a1.json,Relação de compras da CLDF a partir de 2020. As compras de origem do comprasnet são apenas da modalidade pregão eletrônico. As compras obtidas do PNCP contemplam todas as modalidades. || Compras realizadas pela Câmara Legislativa do Distrito Federal no exercício 2024 e publicadas no Portal Nacional de Compras Públicas.,contratacao.py,compras-por-modalidade-e-ano.modalidade
ckan,contratacao,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),data/raw/contratacao/1418acc24bad5215.json,ModoDisputaNome,mododisputanome,text,n/d,n/d,data/raw/contratacao/acdcf1ed87e790a1.json,Relação de compras da CLDF a partir de 2020. As compras de origem do comprasnet são apenas da modalidade pregão eletrônico. As compras obtidas do PNCP contemplam todas as modalidades. || Compras realizadas pela Câmara Legislativa do Distrito Federal no exercício 2024 e publicadas no Portal Nacional de Compras Públicas.,contratacao.py,não publicado
ckan,contratacao,empresas-sancionadas/Empresas sancionadas  (178f7059-d789-46d4-9ed3-2d67650fd59c),data/raw/contratacao/31ea6ded702b5626.json,NOME,nome,text,n/d,n/d,data/raw/contratacao/56f7e68b989aeb78.json,"Empresas sancionadas administrativamente pela CLDF, nas hipóteses de impedimento de licitar e contratar, ou de declaração de inidoneidade para licitar ou contratar. || Empresas sancionadas administrativamente pela CLDF (nas hipóteses de impedimento de licitar e contratar e declaração de inidoneidade para licitar ou contratar)",contratacao.py,empresas-sancionadas.empresa
ckan,contratacao,"contratos-atas-de-registro-de-preco-acordos-e-convenios/Contratos, Atas de Registro de Preço, Acordos e Convênios (cbd8a127-b6b9-4abc-9a65-50b0248809c8)",data/raw/contratacao/b[redigido]b10a.json,NomeDaEmpresa,nomedaempresa,text,n/d,n/d,data/raw/contratacao/001d62805eb39f3d.json,"Relação de contratos, atas de registro de preços, acordos e convênios firmados pela CLDF.",contratacao.py,contratos-vigentes.empresa
ckan,contratacao,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),data/raw/contratacao/1418acc24bad5215.json,NumeroCompra,numerocompra,numeric,n/d,n/d,data/raw/contratacao/acdcf1ed87e790a1.json,Relação de compras da CLDF a partir de 2020. As compras de origem do comprasnet são apenas da modalidade pregão eletrônico. As compras obtidas do PNCP contemplam todas as modalidades. || Compras realizadas pela Câmara Legislativa do Distrito Federal no exercício 2024 e publicadas no Portal Nacional de Compras Públicas.,contratacao.py,não publicado
ckan,contratacao,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),data/raw/contratacao/1418acc24bad5215.json,NumeroControlePNCP,numerocontrolepncp,text,n/d,n/d,data/raw/contratacao/acdcf1ed87e790a1.json,Relação de compras da CLDF a partir de 2020. As compras de origem do comprasnet são apenas da modalidade pregão eletrônico. As compras obtidas do PNCP contemplam todas as modalidades. || Compras realizadas pela Câmara Legislativa do Distrito Federal no exercício 2024 e publicadas no Portal Nacional de Compras Públicas.,contratacao.py,não publicado
ckan,contratacao,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),data/raw/contratacao/1418acc24bad5215.json,NumeroProcesso,numeroprocesso,text,n/d,n/d,data/raw/contratacao/acdcf1ed87e790a1.json,Relação de compras da CLDF a partir de 2020. As compras de origem do comprasnet são apenas da modalidade pregão eletrônico. As compras obtidas do PNCP contemplam todas as modalidades. || Compras realizadas pela Câmara Legislativa do Distrito Federal no exercício 2024 e publicadas no Portal Nacional de Compras Públicas.,contratacao.py,não publicado
ckan,contratacao,licitacoes/Relatorio_Licitacoes_Normalizado.csv (422b9ad0-172b-4672-944e-12302430a8d6),data/raw/contratacao/a500110735f5167d.json,Nº  da licitacao,no_da_licitacao,numeric,n/d,n/d,data/raw/contratacao/147bfc606c65c310.json,"Dados para as modalidades de licitações da Lei 14.133/2021 utilizadas na CLDF, que atualmente compreende Pregões Eletrônicos e Concorrências. Observe-se que as Dispensas Eletrônicas de Licitação se encontram em outro conjunto de dados.",contratacao.py,licitacoes-e-dispensas.identificacao
ckan,contratacao,dispensas-eletronicas-de-licitacao/Dispensas Eletrônicas de Licitação (71fa9f89-9a71-469e-ae61-b21efb023be3),data/raw/contratacao/99ce668318bbb2ec.json,Nº de Identificacao,no_de_identificacao,numeric,n/d,n/d,data/raw/contratacao/da779e91365c6df9.json,Cotações Eletrônicas de 2022 e Dispensas Eletrônicas de Licitação a partir do ano de 2023.,contratacao.py,licitacoes-e-dispensas.identificacao
ckan,contratacao,"contratos-atas-de-registro-de-preco-acordos-e-convenios/Contratos, Atas de Registro de Preço, Acordos e Convênios (cbd8a127-b6b9-4abc-9a65-50b0248809c8)",data/raw/contratacao/b[redigido]b10a.json,NºContrato,nocontrato,text,n/d,n/d,data/raw/contratacao/001d62805eb39f3d.json,"Relação de contratos, atas de registro de preços, acordos e convênios firmados pela CLDF.",contratacao.py,contratos-vigentes.numero
ckan,contratacao,contratacoes/Compras-2021-ComprasNet (15a17dd3-58ac-4600-a254-ff30fe85d34b); contratacoes/Compras-2023-ComprasNet (b7cde9a6-8a98-4d4b-833a-2f98e3e456ef); contratacoes/Compras-2022-ComprasNet (ef8bbc97-dc3a-42e0-b994-281cb7f21edd); contratacoes/Compras-2020-ComprasNet (fc1c6163-43e8-4d0d-bbf2-eaf19d012156),data/raw/contratacao/0db7a8a0e1807273.json,NÚMERO,numero,numeric,n/d,n/d,data/raw/contratacao/acdcf1ed87e790a1.json,Relação de compras da CLDF a partir de 2020. As compras de origem do comprasnet são apenas da modalidade pregão eletrônico. As compras obtidas do PNCP contemplam todas as modalidades.,contratacao.py,não publicado
ckan,contratacao,contratacoes/Compras-2021-ComprasNet (15a17dd3-58ac-4600-a254-ff30fe85d34b); contratacoes/Compras-2023-ComprasNet (b7cde9a6-8a98-4d4b-833a-2f98e3e456ef); contratacoes/Compras-2022-ComprasNet (ef8bbc97-dc3a-42e0-b994-281cb7f21edd); contratacoes/Compras-2020-ComprasNet (fc1c6163-43e8-4d0d-bbf2-eaf19d012156),data/raw/contratacao/0db7a8a0e1807273.json,OBJETO,objeto,text,n/d,n/d,data/raw/contratacao/acdcf1ed87e790a1.json,Relação de compras da CLDF a partir de 2020. As compras de origem do comprasnet são apenas da modalidade pregão eletrônico. As compras obtidas do PNCP contemplam todas as modalidades.,contratacao.py,não publicado
ckan,contratacao,empresas-sancionadas/Empresas sancionadas  (178f7059-d789-46d4-9ed3-2d67650fd59c),data/raw/contratacao/31ea6ded702b5626.json,OBS,obs,text,n/d,n/d,data/raw/contratacao/56f7e68b989aeb78.json,"Empresas sancionadas administrativamente pela CLDF, nas hipóteses de impedimento de licitar e contratar, ou de declaração de inidoneidade para licitar ou contratar. || Empresas sancionadas administrativamente pela CLDF (nas hipóteses de impedimento de licitar e contratar e declaração de inidoneidade para licitar ou contratar)",contratacao.py,empresas-sancionadas.observacoes
ckan,contratacao,licitacoes/Relatorio_Licitacoes_Normalizado.csv (422b9ad0-172b-4672-944e-12302430a8d6); obras/OBRAS CLDF (4fd1432f-627e-49c7-8b8a-c17678a80cb7); dispensas-eletronicas-de-licitacao/Dispensas Eletrônicas de Licitação (71fa9f89-9a71-469e-ae61-b21efb023be3),data/raw/contratacao/437e5e4c456cc6f1.json,Objeto,objeto,text,n/d,n/d,data/raw/contratacao/147bfc606c65c310.json,"Dados para as modalidades de licitações da Lei 14.133/2021 utilizadas na CLDF, que atualmente compreende Pregões Eletrônicos e Concorrências. Observe-se que as Dispensas Eletrônicas de Licitação se encontram em outro conjunto de dados.",contratacao.py,licitacoes-e-dispensas.objeto; obras.objeto
ckan,contratacao,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),data/raw/contratacao/1418acc24bad5215.json,ObjetoCompra,objetocompra,text,n/d,n/d,data/raw/contratacao/acdcf1ed87e790a1.json,Relação de compras da CLDF a partir de 2020. As compras de origem do comprasnet são apenas da modalidade pregão eletrônico. As compras obtidas do PNCP contemplam todas as modalidades. || Compras realizadas pela Câmara Legislativa do Distrito Federal no exercício 2024 e publicadas no Portal Nacional de Compras Públicas.,contratacao.py,não publicado
ckan,contratacao,"contratos-atas-de-registro-de-preco-acordos-e-convenios/Contratos, Atas de Registro de Preço, Acordos e Convênios (cbd8a127-b6b9-4abc-9a65-50b0248809c8)",data/raw/contratacao/b[redigido]b10a.json,ObjetoDoContrato,objetodocontrato,text,n/d,n/d,data/raw/contratacao/001d62805eb39f3d.json,"Relação de contratos, atas de registro de preços, acordos e convênios firmados pela CLDF.",contratacao.py,contratos-vigentes.objeto
ckan,contratacao,obras/OBRAS CLDF (4fd1432f-627e-49c7-8b8a-c17678a80cb7),data/raw/contratacao/437e5e4c456cc6f1.json,Observações,observacoes,text,n/d,n/d,data/raw/contratacao/5ac2de468a0bdbef.json,"Nesta seção, estão disponíveis informações detalhadas sobre as obras em execução na Câmara Legislativa do Distrito Federal (CLDF). O objetivo é garantir total transparência sobre os investimentos públicos destinados a melhorias, manutenções e novas construções vinculadas à infraestrutura física da instituição. || Conforme a Lei 14.133/2021, art. 94, §3º e Lei Distrital nº 7.433/2024, informamos as obras que estão em execução na Câmara Legislativa do Distrito Federal.",contratacao.py,obras.observacoes
ckan,contratacao,contratacoes/Compras-2021-ComprasNet (15a17dd3-58ac-4600-a254-ff30fe85d34b); empresas-sancionadas/Empresas sancionadas  (178f7059-d789-46d4-9ed3-2d67650fd59c); contratacoes/Compras-2023-ComprasNet (b7cde9a6-8a98-4d4b-833a-2f98e3e456ef); contratacoes/Compras-2022-ComprasNet (ef8bbc97-dc3a-42e0-b994-281cb7f21edd); contratacoes/Compras-2020-ComprasNet (fc1c6163-43e8-4d0d-bbf2-eaf19d012156),data/raw/contratacao/0db7a8a0e1807273.json,PROCESSO,processo,text,n/d,n/d,data/raw/contratacao/acdcf1ed87e790a1.json,Relação de compras da CLDF a partir de 2020. As compras de origem do comprasnet são apenas da modalidade pregão eletrônico. As compras obtidas do PNCP contemplam todas as modalidades.,contratacao.py,empresas-sancionadas.processo
ckan,contratacao,obras/OBRAS CLDF (4fd1432f-627e-49c7-8b8a-c17678a80cb7),data/raw/contratacao/437e5e4c456cc6f1.json,Percentual de Conclusão,percentual_de_conclusao,numeric,n/d,n/d,data/raw/contratacao/5ac2de468a0bdbef.json,"Nesta seção, estão disponíveis informações detalhadas sobre as obras em execução na Câmara Legislativa do Distrito Federal (CLDF). O objetivo é garantir total transparência sobre os investimentos públicos destinados a melhorias, manutenções e novas construções vinculadas à infraestrutura física da instituição. || Conforme a Lei 14.133/2021, art. 94, §3º e Lei Distrital nº 7.433/2024, informamos as obras que estão em execução na Câmara Legislativa do Distrito Federal.",contratacao.py,obras.percentual_de_conclusao_na_fonte
ckan,contratacao,obras/OBRAS CLDF (4fd1432f-627e-49c7-8b8a-c17678a80cb7),data/raw/contratacao/437e5e4c456cc6f1.json,Pregão eletrônico,pregao_eletronico,text,n/d,n/d,data/raw/contratacao/5ac2de468a0bdbef.json,"Nesta seção, estão disponíveis informações detalhadas sobre as obras em execução na Câmara Legislativa do Distrito Federal (CLDF). O objetivo é garantir total transparência sobre os investimentos públicos destinados a melhorias, manutenções e novas construções vinculadas à infraestrutura física da instituição. || Conforme a Lei 14.133/2021, art. 94, §3º e Lei Distrital nº 7.433/2024, informamos as obras que estão em execução na Câmara Legislativa do Distrito Federal.",contratacao.py,obras.pregao_eletronico
ckan,contratacao,obras/OBRAS CLDF (4fd1432f-627e-49c7-8b8a-c17678a80cb7),data/raw/contratacao/437e5e4c456cc6f1.json,Previsão Término,previsao_termino,timestamp,n/d,n/d,data/raw/contratacao/5ac2de468a0bdbef.json,"Nesta seção, estão disponíveis informações detalhadas sobre as obras em execução na Câmara Legislativa do Distrito Federal (CLDF). O objetivo é garantir total transparência sobre os investimentos públicos destinados a melhorias, manutenções e novas construções vinculadas à infraestrutura física da instituição. || Conforme a Lei 14.133/2021, art. 94, §3º e Lei Distrital nº 7.433/2024, informamos as obras que estão em execução na Câmara Legislativa do Distrito Federal.",contratacao.py,obras.previsao_termino
ckan,contratacao,licitacoes/Relatorio_Licitacoes_Normalizado.csv (422b9ad0-172b-4672-944e-12302430a8d6); dispensas-eletronicas-de-licitacao/Dispensas Eletrônicas de Licitação (71fa9f89-9a71-469e-ae61-b21efb023be3),data/raw/contratacao/99ce668318bbb2ec.json,Processo,processo,text,n/d,n/d,data/raw/contratacao/147bfc606c65c310.json,"Dados para as modalidades de licitações da Lei 14.133/2021 utilizadas na CLDF, que atualmente compreende Pregões Eletrônicos e Concorrências. Observe-se que as Dispensas Eletrônicas de Licitação se encontram em outro conjunto de dados.",contratacao.py,licitacoes-e-dispensas.processo
ckan,contratacao,empresas-sancionadas/Empresas sancionadas  (178f7059-d789-46d4-9ed3-2d67650fd59c),data/raw/contratacao/31ea6ded702b5626.json,SANÇÃO,sancao,text,n/d,n/d,data/raw/contratacao/56f7e68b989aeb78.json,"Empresas sancionadas administrativamente pela CLDF, nas hipóteses de impedimento de licitar e contratar, ou de declaração de inidoneidade para licitar ou contratar. || Empresas sancionadas administrativamente pela CLDF (nas hipóteses de impedimento de licitar e contratar e declaração de inidoneidade para licitar ou contratar)",contratacao.py,empresas-sancionadas.sancao
ckan,contratacao,contratacoes/Compras-2021-ComprasNet (15a17dd3-58ac-4600-a254-ff30fe85d34b); contratacoes/Compras-2023-ComprasNet (b7cde9a6-8a98-4d4b-833a-2f98e3e456ef); contratacoes/Compras-2022-ComprasNet (ef8bbc97-dc3a-42e0-b994-281cb7f21edd); contratacoes/Compras-2020-ComprasNet (fc1c6163-43e8-4d0d-bbf2-eaf19d012156),data/raw/contratacao/0db7a8a0e1807273.json,SESSAO,sessao,timestamp,n/d,n/d,data/raw/contratacao/acdcf1ed87e790a1.json,Relação de compras da CLDF a partir de 2020. As compras de origem do comprasnet são apenas da modalidade pregão eletrônico. As compras obtidas do PNCP contemplam todas as modalidades.,contratacao.py,não publicado
ckan,contratacao,contratacoes/Compras-2021-ComprasNet (15a17dd3-58ac-4600-a254-ff30fe85d34b); contratacoes/Compras-2023-ComprasNet (b7cde9a6-8a98-4d4b-833a-2f98e3e456ef); contratacoes/Compras-2022-ComprasNet (ef8bbc97-dc3a-42e0-b994-281cb7f21edd); contratacoes/Compras-2020-ComprasNet (fc1c6163-43e8-4d0d-bbf2-eaf19d012156),data/raw/contratacao/0db7a8a0e1807273.json,SITUAÇÃO,situacao,text,n/d,n/d,data/raw/contratacao/acdcf1ed87e790a1.json,Relação de compras da CLDF a partir de 2020. As compras de origem do comprasnet são apenas da modalidade pregão eletrônico. As compras obtidas do PNCP contemplam todas as modalidades.,contratacao.py,não publicado
ckan,contratacao,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),data/raw/contratacao/1418acc24bad5215.json,SRP,srp,text,n/d,n/d,data/raw/contratacao/acdcf1ed87e790a1.json,Relação de compras da CLDF a partir de 2020. As compras de origem do comprasnet são apenas da modalidade pregão eletrônico. As compras obtidas do PNCP contemplam todas as modalidades. || Compras realizadas pela Câmara Legislativa do Distrito Federal no exercício 2024 e publicadas no Portal Nacional de Compras Públicas.,contratacao.py,não publicado
